product_name, product_brand, product_price, shipping_price
EVGA GeForce RTX 2070 SUPER KO GAMING Video Card| 08G-P4-2072-KR| 8GB GDDR6| Dual Fans,EVGA,509,Free Shipping
GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card| GV-N207SGAMING OC-8GD,GIGABYTE,549,$6.99 Shipping
XFX Radeon VII DirectX 12 RX-VEGMA3FD6 Video Card,XFX,599,Free Shipping
MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC Video Card,MSI,379,Free Shipping
GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD Video Card,GIGABYTE,399,Free Shipping
EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,EVGA,1,099,Free Shipping
SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,Sapphire Tech,399,Free Shipping
ASRock Challenger D Radeon RX 5600 XT RX5600XT CLD 6GO 6GB (14Gbps) Video Card,ASRock,269,$3.99 Shipping
EVGA GeForce RTX 2080 Ti XC HYBRID GAMING| 11G-P4-2384-KR| 11GB GDDR6| HYBRID| RGB LED Logo| Metal Backplate,EVGA,1,399,Free Shipping
EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR,EVGA,379,Free Shipping
GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card| PCIe 3.0| 8GB 256-Bit GDDR5| GV-RX580GAMING-8GD REV2.0 Video Card,GIGABYTE,169,Free Shipping
GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD Video Card,GIGABYTE,209,$1.99 Shipping
